"STT","Tên nhiệm vụ","Người làm","Mô tả","Ngày thực hiện","Ngày kết thúc","Trạng thái"
"11","CRUD Phần mềm diệt virus – Backend","","- Lập API Route Antivirus Management Category Data Array Set
- Tận dụng chuẩn hóa Routing Model Phân trang và Search Request
- Triển khai Validation Check và khóa Foreign Key Object System Data","","","Chưa bắt đầu"
"12","CRUD Tình trạng thiết bị – Backend","","- Thiết lập API Status Flag Codes cho trạng thái Inventory Assets
- Rào khung Controller để xuất ba mảng cốt lõi: Đang Sử Dụng, Lưu Kho, Thanh Lý Chờ Xóa
- Bọc khóa chặn Validation Cấm xóa các State Mode mà hệ thống thiết bị Inventory đang đính dính","","","Chưa bắt đầu"
"13","CRUD Nguồn gốc tài sản – Backend","","- Khai báo API Asset Sources Danh Mục
- Dựng mảng Nguồn Gốc Dự chi: Ngân sách Nhà nước, Lên Viện Trợ, Thuê ngoài Quản lý vòng đời
- Bọc Framework Exception DB Khóa ngoại Standard Constraints Exception Data","","","Chưa bắt đầu"
"14","Giao diện 7 trang Danh mục – Frontend","","- Xây dựng Module Reusable Function Data Table Generic Grid Render Columns Fields Mapping Parameters dùng chung áp dụng cho 7 Category Pages
- Triển khai Option Debounce Function Search Request Input Filter Data tránh bão Request API Overhead
- Bố trí Button Block Navigation Controller Pagination Fetch Page Record limit API Calls
- Render Dynamic Overlay Modal Box Components thao tác Action Function Entry Creation Modification Form Schema
- Rèn hộp Dialogue Confirm Prompt Action Box cảnh báo UX người quản trị System thao tác Button Delete Records Action","","","Chưa bắt đầu"
"15","Seed dữ liệu mẫu","","- Quản trị Code System Node Script Data Bootstrap nạp mẫu Record Khởi tạo Database Empty Platform
- Tạo File Record Object Credentials User gốc Account Name `admin` Password Encode Hash `admin123`
- Execute Insert Statement khởi nạp Records Catalog Departments Phổ thông (Khối Nhân Sự, Khối Kế Toán, Khối Vận Hành IT)
- Execute Insert Statement khởi nạp Types Device Records (Thiết Bị Laptop Cầm Tay, Vi Tính Để Bàn Màn Hình Tĩnh, Phụ Kiện Chuột Phím)","","","Chưa bắt đầu"
"16","Module Người dùng – Backend","","- Xây dựng API lấy danh sách tài khoản, hỗ trợ tìm kiếm theo chức vụ và phòng ban.
- Lọc bỏ cột mật khẩu trước khi trả kết quả về phía Client.
- API hệ thống tự động khởi tạo và băm (hash) mật khẩu mặc định khi thêm nhân viên.
- Hỗ trợ quyền Admin: Đặt lại mật khẩu và Khóa tài khoản nhân viên.","","","Chưa bắt đầu"
"17","Giao diện Người dùng – Frontend","","- Xây dựng bảng danh sách nhân viên phân quyền theo cấp độ Admin.
- Gắn thẻ trạng thái màu (Xanh: Hoạt động, Đỏ: Đã khóa) để nhận diện.
- Cài đặt công tắc trực tiếp trên bảng để thao tác khóa tài khoản nhanh chóng.
- Thiết kế mô-đun cấp quyền (Role) thông qua biểu mẫu cập nhật.","","","Chưa bắt đầu"
"18","Module Thiết bị – Backend","","- Xây dựng bộ API quản lý cốt lõi của kho thiết bị (Thêm, Sửa, Xóa).
- Truy vấn gộp để hiển thị chuỗi lịch sử bàn giao và bảo trì gần đây nhất.
- Cài đặt ràng buộc dữ liệu để báo lỗi ngay khi nhập trùng mã Serial thiết bị.
- Chế độ khóa ngoại nghiêm ngặt cấm xóa thiết bị đang được bàn giao.","","","Chưa bắt đầu"
"19","Module Cấu hình máy tính – Backend","","- Cung cấp API chuyên biệt để cập nhật thông số kĩ thuật (Mainboard, CPU, RAM, Ổ cứng).
- Phân mảnh kiến trúc phần mềm 1-1 giữa Thiết Bị và Cấu Hình để hệ thống vận hành siêu mượt.","","","Chưa bắt đầu"
"20","Import thiết bị từ Excel – Backend","","- Nhận file dữ liệu Excel, đọc trước 5 dòng đầu tiên để hiển thị bản xem thử (Preview).
- Thiết lập mã lệnh Transaction (chặn lưu đồng loạt nếu bị đứt mạng) để nạp dữ liệu hàng loạt.
- Thu thập và trả về file danh sách các mã Serial bị lỗi trùng lặp để nhân viên rà soát lại.","","","Chưa bắt đầu"
"21","Giao diện Danh sách thiết bị – Frontend","","- Bố cục giao diện hiển thị kho lưu trữ thiết bị vật lý chuyên nghiệp.
- Tích hợp bộ thanh công cụ lọc thông minh theo tên phòng ban, tên thiết bị.
- Tính toán giao diện Responsive để hiển thị chuẩn xác khi sử dụng trên máy tính bảng Tablet.","","","Chưa bắt đầu"
"22","Giao diện Chi tiết thiết bị – Frontend","","- Dàn trang màn hình theo dạng Thẻ (Tabs) để phân bổ thông tin kỹ thuật không bị rối mắt.
- Thẻ Thông Tin: Chi tiết hệ thống thiết bị và nút bấm ""Báo mất/Thu hồi"".
- Thẻ Luân chuyển: Bảng lịch sử quá trình chuyển giao thiết bị cho nhân sự.","","","Chưa bắt đầu"
"23","Giao diện Thêm/Sửa thiết bị – Frontend","","- Phối hợp thư viện Validation Zod để bắt buộc nhập đầy đủ các trường trước khi nhấn Lưu.
- Lồng ghép bộ chọn thời gian liên kết chuẩn bị cho ngày thiết bị xuất kho hoặc kết thúc sửa chữa.
- Truyền cấu hình hộp chọn khóa nhau (Ví dụ chọn loại Điện Thoại thì chỉ ra hãng Apple/Samsung).","","","Chưa bắt đầu"
"24","Giao diện Import Excel – Frontend","","- Xây dựng giao diện kéo thả từng bước để tải tệp tin danh sách dữ liệu lên hệ thống.
- Cài đặt màn hình chờ (Overlay Loading) để ngăn nhân viên bấm lưu nhiều lần làm nghẽn máy chủ.
- Tích hợp nút báo cáo tải lại file Excel chứa các mã bị lỗi trùng lặp bộ nhớ CSDL.","","","Chưa bắt đầu"
"25","Module Bàn giao – Backend","","- Khởi tạo API gắn trạng thái luân chuyển thiết bị trực tiếp cho tài khoản nhân viên cụ thể.
- Thiết lập rào cản từ chối mượn máy nếu tình trạng máy đang là đã thất lạc.
- Ghi bản ghi mốc thời gian luân chuyển vào bảng lưu vết dòng thời gian.
- Tự động thay đổi trạng thái tồn kho thiết bị thành ""Đang sử dụng"".","","","Chưa bắt đầu"
"26","Module Thu hồi – Backend","","- Khởi động luồng API cập nhật trạng thái kết thúc nhiệm vụ mượn công cụ làm việc.
- Gỡ bỏ chủ sở hữu cũ, đổi trạng thái máy tính về lại chế độ ""Có sẵn trong kho"".","","","Chưa bắt đầu"
"27","API Lịch sử bàn giao – Backend","","- Mở khóa truy vấn đọc quá trình luân chuyển sự kiện giao trả thiết bị.
- Lọc tìm lịch trình theo mã nhân viên nhận hoặc thẻ mã vạch tài sản.
- Đếm số lượng máy móc nhân viên đang mượn nhưng chưa giao lại.","","","Chưa bắt đầu"
"28","Giao diện Bàn giao – Frontend","","- Lên khung danh sách hiển thị bảng kiểm tra ngày giờ bàn giao máy làm việc.
- Tạo hộp thoại Form phân công gán thiết bị thẳng vào thẻ người dùng mới.
- Lọc che khuất các thiết bị có sự cố trong danh sách thả xuống để không phát nhầm.","","","Chưa bắt đầu"
"29","Module Sửa chữa/Bảo trì – Backend","","- Ghi nhận Phiếu Báo Lỗi yêu cầu văn bản giải thích lý do thiết bị hư hỏng.
- Xây dựng chu trình sửa chữa kết thúc: Cập nhật phí kỹ thuật, Ghi chú sửa chi tiết, Hoàn trả thiết bị cho kho.
- Tạo truy vấn quét những vé lỗi kỹ thuật bị bỏ quên hoặc chưa hoàn thiện hoàn trả.","","","Chưa bắt đầu"
"30","API Thống kê chi phí – Backend","","- Tổng hợp toàn bộ lượng ngân sách chi phí thay sửa linh kiện phụ kiện cho cả vòng đời dự án.
- Truy vấn dữ liệu bóc khối tính tổng chia theo phòng ban (Ví dụ: Phòng Kế Toán tốn bao nhiêu chi phí máy tính).","","","Chưa bắt đầu"
"31","Giao diện Sửa chữa/Bảo trì – Frontend","","- Dựng trang giám sát tiến độ trạng thái sự kiện hỏng hóc bằng thẻ màu đánh dấu.
- Phát triển Input tự động cách điệu điền dấu phẩy hàng ngàn khi gõ giá tiền chi phí sửa chữa.","","","Chưa bắt đầu"
"29","Module Sửa chữa/Bảo trì – Backend","","- Endpoint Post API mở Phiếu Báo Lỗi Sự Cố Mới (Issue Request Logging Ticketing System) ghi nhận Text Area Note Reason, Loại Sự cố, Data Event Ngày Phát Sinh, Null Parameter Biến Chi Phí Mặc định Bằng 0.
- Khởi động API Đóng Phiếu Support Kỹ thuật Endpoint Kết Thúc: Đóng băng Timetamp Timestamp ngày Release, Parameter Biến Nhập Số Tiền Maintenance Cost, Update Text Ghi Chú Cách Khắc Phục, Update Flag Status Trả Máy Về Kho Vận.
- Endpoint Get Arrays Table Trễ Deadline Danh Sách Chưa Xử Lý.","","","Chưa bắt đầu"
"30","API Thống kê chi phí – Backend","","- Truy vấn Report Expense Analytics Khối Cơ Sở Dữ Liệu Backend Group Endpoint.
- Khai triển Logical Group Algorithms Data Block Function Sum Calculate Số Tiền Lịch Sử Cắt nhóm Group theo Định dạng Hardware Model ID List.
- Function Sum Total Aggregate Filter Lọc chia Tổng Doanh Thu theo Khối Vị Trí Department Khối Phòng Ban, Hay Khung Thời Gian Array JSON Report Formatting Chart Data Render Engine Config Endpoint.","","","Chưa bắt đầu"
"31","Giao diện Sửa chữa/Bảo trì – Frontend","","- Render Workflow Route Interface Ticketing List Issues Quản Trị Hệ Thống.
- Đóng Badge Marker Visual Component 3 Label Colors Red Yellow Green Control Flags Trạng Thái Trì Hoãn.
- Component Form Split Panel Layout Rendering Open Submit Ticketing Action Submit (Ghi Lỗi Ban Đầu) Layout Update Closed (Ghi Lỗi Hoàn Trả Hoàn Tất Báo Phí Tài Chính). Form Field Hỗ Trợ Element String VNĐ Formatting Auto Comma Separator Number Field Numeric Giá Trị Tiền Value System App Components Input Model Form Format Result State.","","","Chưa bắt đầu"
"32","API Dashboard – Backend","","- Xây dựng API thống kê 4 chỉ số thiết bị cơ bản.
- Xây dựng API thống kê tỷ lệ phân bổ để vẽ biểu đồ.
- Lấy danh sách 10 sự kiện mới nhất để cập nhật bảng tin.","","","Chưa bắt đầu"
"33","Giao diện Dashboard – Frontend","","- Thiết kế màn hình tổng quan Home Page cho người quản lý.
- Vẽ biểu đồ thống kê trực quan bằng thư viện Recharts.
- Hiển thị thẻ KPI số liệu tổng với tính năng kết nối chức năng lọc.","","","Chưa bắt đầu"
"34","Module Xuất báo cáo – Backend","","- Lập trình API xuất file dữ liệu Excel bằng thư viện chuyên dụng.
- Lập trình API xuất báo cáo định dạng chuẩn bằng tài liệu PDF.
- Khởi tạo mẫu thiết kế khung PDF trống cho biên bản bàn giao ký tay.","","","Chưa bắt đầu"
"35","Giao diện Xuất báo cáo – Frontend","","- Khởi tạo màn hình tùy chọn chuyên dành cho việc xuất báo cáo.
- Hỗ trợ người dùng tải file dữ liệu thô (Excel) hoặc bản in báo cáo cứng (PDF).
- Hiển thị hiệu ứng tải dữ liệu che màn hình khi đợi hệ thống xử lý file.","","","Chưa bắt đầu"
"36","In phiếu bàn giao – Frontend","","- Tích hợp nút Print ngay vào bảng dữ liệu lịch sử luân chuyển thiết bị.
- Gọi request tải tệp mẫu in trực tiếp từ bộ nhớ máy chủ.
- Kích hoạt chức năng in tài liệu ngay tại cấu hình phần mềm trình duyệt để không chuyển khung hình.","","","Chưa bắt đầu"
"37","Kiểm thử chức năng","","- Tiến hành End-to-end Testing toàn bộ vòng đời tác vụ nhận và cấp phát thiết bị.
- Chạy kịch bản bảo vệ lỗi rủi ro ngoại lệ khi người sử dụng truyền thông số bất quy tắc.
- Xác nhận tính năng hiển thị linh động và tương thích UX trên mọi thiết kế giao diện.","","","Chưa bắt đầu"
"38","Sửa lỗi & Hoàn thiện UI","","- Gắn nhãn báo Rỗng dữ liệu khi gọi mảng truy vấn nhưng không có bản ghi nào trong hệ quản lý.
- Đồng nhất toàn bộ font chữ, viền báo hiệu lỗi và phong cách màu thiết kế hệ thống nút chức năng tổng.
- Bổ sung hiệu ứng đồ họa chớp thời gian chờ Loading Spinners để tạo chuyển tiếp tương tác mượt mà.","","","Chưa bắt đầu"
"39","Viết tài liệu hướng dẫn","","- Viết hướng dẫn giải thích cách cài đặt mã nguồn nền tảng phần mềm dự án cho lập trình viên kế cận.
- Đề xuất bảng mẫu định dạng Excel tương thích dùng cho việc nạp mảng dữ liệu với số lượng cực lớn.
- Xây dựng chuỗi văn phản giải thích tài liệu cấu trúc toàn bộ tính năng nội bộ (API Documentation).","","","Chưa bắt đầu"
"40","Triển khai (Deployment)","","- Lấy kho lệnh Client đưa lên máy chủ vận hành Frontend cấp đám mây.
- Triển khai các khối ứng dụng Server Backend lên cấp hệ điều hành vận hành thời gian hệ thống.
- Chốt phân tách biến môi trường kĩ lưỡng và đảm bảo không lộ thông số kĩ thuật mật khẩu lõi để khởi chạy App ứng dụng thời kỳ Production.","","","Chưa bắt đầu"
